# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-01T01:17:00.0/2025-11-01T01:18:00.0;4.5116;2.2217;1.1139;1.1078;5.6900;2.2217;1.1139;1.1078;5.6900;1.0000
2025-11-01T01:18:00.0/2025-11-01T01:19:00.0;4.6054;2.2865;1.1597;1.1269;5.8033;2.2865;1.1597;1.1269;5.8033;1.0000
2025-11-01T01:19:00.0/2025-11-01T01:20:00.0;4.6990;2.3517;1.2061;1.1457;5.9150;2.3517;1.2061;1.1457;5.9150;1.0000
2025-11-01T01:20:00.0/2025-11-01T01:21:00.0;4.7926;2.4173;1.2530;1.1643;6.0253;2.4173;1.2530;1.1643;6.0253;1.0000
2025-11-01T01:21:00.0/2025-11-01T01:22:00.0;4.8861;2.4831;1.3005;1.1826;6.1341;2.4831;1.3005;1.1826;6.1341;1.0000
2025-11-01T01:22:00.0/2025-11-01T01:23:00.0;4.9795;2.5493;1.3486;1.2007;6.2415;2.5493;1.3486;1.2007;6.2415;1.0000
2025-11-01T01:23:00.0/2025-11-01T01:24:00.0;5.0727;2.6158;1.3971;1.2186;6.3474;2.6158;1.3971;1.2186;6.3474;1.0000
2025-11-01T01:24:00.0/2025-11-01T01:25:00.0;5.1659;2.6825;1.4462;1.2363;6.4518;2.6825;1.4462;1.2363;6.4518;1.0000
2025-11-01T01:25:00.0/2025-11-01T01:26:00.0;5.2589;2.7495;1.4957;1.2538;6.5548;2.7495;1.4957;1.2538;6.5548;1.0000
2025-11-01T01:26:00.0/2025-11-01T01:27:00.0;5.3518;2.8168;1.5458;1.2710;6.6564;2.8168;1.5458;1.2710;6.6564;1.0000
2025-11-01T01:27:00.0/2025-11-01T01:28:00.0;5.4446;2.8843;1.5962;1.2880;6.7566;2.8843;1.5962;1.2880;6.7566;1.0000
2025-11-01T01:28:00.0/2025-11-01T01:29:00.0;5.5373;2.9520;1.6471;1.3049;6.8554;2.9520;1.6471;1.3049;6.8554;1.0000
