Timestamp;Entity Name;Solar radiation;Solar radiation (Filtered)
2025-10-01 08:51:00;WSTN1;686.584716796875;559.9146124040641
2025-10-01 08:52:00;WSTN1;281.0287170410156;509.4369590936536
2025-10-01 08:53:00;WSTN1;621.9564819335938;529.8027128266402
2025-10-01 08:55:00;WSTN1;705.9078979492188;561.6773132585163
2025-10-01 08:56:00;WSTN1;705.1437377929688;587.6443792153907
2025-10-01 08:57:00;WSTN1;631.9810180664062;595.6692005565957
2025-10-01 08:59:00;WSTN1;645.01708984375;604.6010457608675
2025-10-01 09:00:00;WSTN1;312.2589111328125;551.68784661693
2025-10-01 09:01:00;WSTN1;689.681640625;576.6643800621222
2025-10-01 09:03:00;WSTN1;431.6664123535156;550.4201086005584
2025-10-01 09:04:00;WSTN1;336.3163146972656;511.6678545038603
2025-10-01 09:05:00;WSTN1;749.1188354492188;554.6458913772332
2025-10-01 09:07:00;WSTN1;727.7763061523438;585.9820657761896
2025-10-01 09:08:00;WSTN1;734.1314086914062;612.7967283108596
2025-10-01 09:09:00;WSTN1;716.170654296875;631.5071517636676
2025-10-01 09:11:00;WSTN1;623.362548828125;630.0329988926661
2025-10-01 09:12:00;WSTN1;625.6577758789062;629.2410944108823
2025-10-01 09:14:00;WSTN1;695.4591064453125;641.2263898666719
2025-10-01 09:16:00;WSTN1;244.58970642089844;569.4361368275089
2025-10-01 09:17:00;WSTN1;752.8292236328125;602.6298293347375
2025-10-01 09:18:00;WSTN1;860.1029052734375;649.2318155953905
2025-10-01 09:19:00;WSTN1;829.7763671875;681.9099303149832
2025-10-01 09:21:00;WSTN1;637.0189819335938;673.7847803276685
2025-10-01 09:22:00;WSTN1;427.8901977539063;629.2784725636687
2025-10-01 09:23:00;WSTN1;634.677001953125;630.2555929538996
2025-10-01 09:25:00;WSTN1;761.3073120117188;653.9756281020465
2025-10-01 09:26:00;WSTN1;484.7190856933594;623.3406149648547
2025-10-01 09:28:00;WSTN1;861.2540283203125;666.402350954119
2025-10-01 09:29:00;WSTN1;680.3369140625;668.9244722134291
2025-10-01 09:31:00;WSTN1;784.4512329101562;689.8345285177567
2025-10-01 09:32:00;WSTN1;713.7954711914062;694.1713995369834
2025-10-01 09:33:00;WSTN1;827.6074829101562;718.3229986949179
2025-10-01 09:35:00;WSTN1;869.4401245117188;745.6748225521844
2025-10-01 09:36:00;WSTN1;799.6541137695312;755.4449399848495
2025-10-01 09:37:00;WSTN1;541.9766845703125;716.807716773665
2025-10-01 09:39:00;WSTN1;810.2523803710938;733.7209684339492
2025-10-01 09:40:00;WSTN1;856.4541015625;755.9353602220264
2025-10-01 09:41:00;WSTN1;876.2520751953125;777.7123863350282
2025-10-01 09:42:00;WSTN1;880.1358032226562;796.2507700054931
2025-10-01 09:44:00;WSTN1;845.4768676757812;805.1605712300783
2025-10-01 09:45:00;WSTN1;790.0497436523438;802.4255490278642
2025-10-01 09:46:00;WSTN1;832.78271484375;807.9201205247344
2025-10-01 09:48:00;WSTN1;208.19317626953125;699.3710354818446
2025-10-01 09:49:00;WSTN1;885.672607421875;733.0911565633762
2025-10-01 09:50:00;WSTN1;878.4696655273438;759.4043050455346
2025-10-01 09:52:00;WSTN1;974.9303588867188;798.413984653009
2025-10-01 09:53:00;WSTN1;755.679443359375;790.6791389843481
2025-10-01 09:54:00;WSTN1;938.3314208984376;817.4038347142919
2025-10-01 09:56:00;WSTN1;923.2222900390624;836.5567118964581
2025-10-01 09:57:00;WSTN1;868.6823120117188;842.3713656023976
2025-10-01 09:58:00;WSTN1;906.5559692382812;853.9886191963114
2025-10-01 10:00:00;WSTN1;934.2835693359376;868.5218054316658
2025-10-01 10:01:00;WSTN1;941.273681640625;881.6897140495511
2025-10-01 10:02:00;WSTN1;961.5697631835938;896.1478042349933
2025-10-01 10:04:00;WSTN1;985.5499267578124;912.3293660169078
2025-10-01 10:05:00;WSTN1;978.93212890625;924.3843004203388
2025-10-01 10:07:00;WSTN1;896.3302001953125;919.3065780663599
2025-10-01 10:08:00;WSTN1;903.6536254882812;916.4734325876616
2025-10-01 10:10:00;WSTN1;956.8361206054688;923.7789787135669
2025-10-01 10:11:00;WSTN1;953.9229736328124;929.2349668084242
2025-10-01 10:12:00;WSTN1;959.4241333007812;934.6991308456471
2025-10-01 10:14:00;WSTN1;964.8812866210938;940.1620259605488
2025-10-01 10:15:00;WSTN1;969.6961669921876;945.5076320188083
2025-10-01 10:17:00;WSTN1;994.0682983398438;954.2969918244908
2025-10-01 10:19:00;WSTN1;967.0536499023438;956.6059152034055
2025-10-01 10:21:00;WSTN1;1018.444580078125;967.7985597172533
2025-10-01 10:22:00;WSTN1;1040.6439208984375;980.9833888825602
2025-10-01 10:24:00;WSTN1;808.1105346679688;949.6938323043559
2025-10-01 10:25:00;WSTN1;887.89501953125;938.508400921765
2025-10-01 10:26:00;WSTN1;924.2714233398438;935.9315433950235
2025-10-01 10:29:00;WSTN1;1004.7109375;948.3804426339453
2025-10-01 10:30:00;WSTN1;1022.8480834960938;961.8589003859602
2025-10-01 10:31:00;WSTN1;1017.6343383789062;971.9541159169543
2025-10-01 10:33:00;WSTN1;953.99560546875;968.7036701990173
2025-10-01 10:34:00;WSTN1;917.6741943359376;959.4674620075801
2025-10-01 10:36:00;WSTN1;752.5415649414062;922.0143893828254
2025-10-01 10:37:00;WSTN1;767.0758056640625;893.9708911514767
2025-10-01 10:39:00;WSTN1;1035.53759765625;919.5941128706752
2025-10-01 10:40:00;WSTN1;1023.014892578125;938.3130167305105
2025-10-01 10:41:00;WSTN1;633.916015625;883.2179167415692
2025-10-01 10:43:00;WSTN1;895.3045654296875;885.4055700876423
2025-10-01 10:44:00;WSTN1;956.5874633789062;898.2893157028791
2025-10-01 10:45:00;WSTN1;820.8262939453125;884.2687014600359
2025-10-01 10:47:00;WSTN1;1016.42919921875;908.1894227948717
2025-10-01 10:48:00;WSTN1;1011.4882202148438;926.8862481641139
2025-10-01 10:49:00;WSTN1;1006.6438598632812;941.3221774784163
2025-10-01 10:51:00;WSTN1;925.7811889648438;938.5092972168743
2025-10-01 10:52:00;WSTN1;919.8269653320312;935.1278416194677
2025-10-01 10:54:00;WSTN1;741.2932739257812;900.0442670454357
2025-10-01 10:55:00;WSTN1;688.0572509765625;861.6751444711185
2025-10-01 10:57:00;WSTN1;1013.8035278320312;889.2100034282877
2025-10-01 10:58:00;WSTN1;1063.998779296875;920.8463370598615
2025-10-01 10:59:00;WSTN1;1075.1458740234375;948.7741694181997
2025-10-01 11:01:00;WSTN1;980.6729736328124;954.5477736302943
2025-10-01 11:02:00;WSTN1;1028.6650390625;967.9628143010756
2025-10-01 11:04:00;WSTN1;1008.0087890625;975.2110361154243
2025-10-01 11:05:00;WSTN1;1013.1085205078124;982.070386517514
2025-10-01 11:06:00;WSTN1;1034.3883056640625;991.5397997381564
2025-10-01 11:08:00;WSTN1;1053.632568359375;1002.7784363980177
2025-10-01 11:09:00;WSTN1;1088.95751953125;1018.3766360679774
2025-10-01 11:10:00;WSTN1;1075.1910400390625;1028.6599018565062
2025-10-01 11:11:00;WSTN1;510.4722900390625;934.8692331494353
2025-10-01 11:13:00;WSTN1;890.8841552734375;926.9080434701734
2025-10-01 11:14:00;WSTN1;969.9674072265624;934.7016811965718
2025-10-01 11:15:00;WSTN1;972.4381103515624;941.5318810013299
2025-10-01 11:17:00;WSTN1;1043.2410888671875;959.9409946155048
2025-10-01 11:18:00;WSTN1;1085.77294921875;982.7162653819428
2025-10-01 11:19:00;WSTN1;1131.0528564453125;1009.5648193656341
2025-10-01 11:21:00;WSTN1;1066.595947265625;1019.8873116461772
2025-10-01 11:22:00;WSTN1;1137.201171875;1041.1208285202654
2025-10-01 11:24:00;WSTN1;1120.173828125;1055.4292247982528
2025-10-01 11:25:00;WSTN1;966.96044921875;1039.4165964913057
2025-10-01 11:26:00;WSTN1;733.0748901367188;983.9695096898866
2025-10-01 11:28:00;WSTN1;632.65771484375;920.3829487380812
2025-10-01 11:29:00;WSTN1;426.4193420410156;830.9767646987067
2025-10-01 11:31:00;WSTN1;355.5347595214844;744.9229444605031
2025-10-01 11:33:00;WSTN1;391.2695617675781;680.9125619333104
2025-10-01 11:34:00;WSTN1;1095.5274658203125;755.9568281501176
2025-10-01 11:35:00;WSTN1;1026.373779296875;804.9016236245352
2025-10-01 11:37:00;WSTN1;1087.970703125;856.1364228578229
2025-10-01 11:38:00;WSTN1;1062.42041015625;893.4733114114159
2025-10-01 11:40:00;WSTN1;573.6187744140625;835.5804358778707
2025-10-01 11:41:00;WSTN1;1119.9739990234375;887.0549633561661
2025-10-01 11:43:00;WSTN1;1139.1429443359375;932.6822608250945
2025-10-01 11:44:00;WSTN1;1106.341064453125;964.1140722920212
2025-10-01 11:46:00;WSTN1;1099.1419677734375;988.5537854817918
2025-10-01 11:47:00;WSTN1;1114.506591796875;1011.3509301074445
2025-10-01 11:48:00;WSTN1;1098.7119140625;1027.1630508860842
2025-10-01 11:49:00;WSTN1;1065.5640869140625;1034.113542881592
2025-10-01 11:51:00;WSTN1;1066.7060546875;1040.0127064420597
2025-10-01 11:52:00;WSTN1;1076.3310546875;1046.5862371297753
2025-10-01 11:54:00;WSTN1;1032.350830078125;1044.0096638651062
2025-10-01 11:55:00;WSTN1;1037.42529296875;1042.8179091119991
2025-10-01 11:56:00;WSTN1;1029.7115478515625;1040.4456903269506
2025-10-01 11:57:00;WSTN1;1019.7060546875;1036.6918678676627
2025-10-01 11:58:00;WSTN1;989.4644775390624;1028.1438276999836
2025-10-01 11:59:00;WSTN1;1070.5477294921875;1035.818828441377
2025-10-01 12:00:00;WSTN1;972.7996826171876;1024.412519812213
2025-10-01 12:02:00;WSTN1;1127.8912353515625;1043.1419099135023
2025-10-01 12:03:00;WSTN1;1121.367919921875;1057.300623131749
2025-10-01 12:05:00;WSTN1;1056.7529296875;1057.2014919807698
2025-10-01 12:06:00;WSTN1;1050.222900390625;1055.9383842627415
2025-10-01 12:07:00;WSTN1;1113.4964599609375;1066.3562527839363
2025-10-01 12:08:00;WSTN1;1122.7542724609375;1076.5641540510242
2025-10-01 12:10:00;WSTN1;1104.3575439453125;1081.5946884836767
2025-10-01 12:11:00;WSTN1;1068.55322265625;1079.2342156105706
2025-10-01 12:12:00;WSTN1;1057.685791015625;1075.3340043622634
2025-10-01 12:14:00;WSTN1;1056.6666259765625;1071.9552553110036
2025-10-01 12:15:00;WSTN1;1063.534423828125;1070.4311057600742
2025-10-01 12:16:00;WSTN1;1101.71240234375;1076.0929426270673
2025-10-01 12:18:00;WSTN1;1060.395751953125;1073.2517901630633
2025-10-01 12:19:00;WSTN1;1081.2552490234375;1074.7003963075663
2025-10-01 12:20:00;WSTN1;355.2729797363281;944.4858235396856
2025-10-01 12:22:00;WSTN1;1047.10400390625;963.0594589153487
2025-10-01 12:24:00;WSTN1;1106.044921875;988.9394720236133
2025-10-01 12:25:00;WSTN1;1096.0404052734375;1008.324474519951
