dhi,dni,ghi,gti,period_end,period
0,0,0,0,2025-10-02 05:15:00+05:30,PT5M
0,0,0,0,2025-10-02 05:20:00+05:30,PT5M
0,0,0,0,2025-10-02 05:25:00+05:30,PT5M
0,0,0,0,2025-10-02 05:30:00+05:30,PT5M
0,0,0,0,2025-10-02 05:35:00+05:30,PT5M
0,0,0,0,2025-10-02 05:40:00+05:30,PT5M
0,0,0,0,2025-10-02 05:45:00+05:30,PT5M
0,0,0,0,2025-10-02 05:50:00+05:30,PT5M
0,0,0,0,2025-10-02 05:55:00+05:30,PT5M
0,0,0,0,2025-10-02 06:00:00+05:30,PT5M
3,0,3,3,2025-10-02 06:05:00+05:30,PT5M
9,0,9,9,2025-10-02 06:10:00+05:30,PT5M
17,0,17,17,2025-10-02 06:15:00+05:30,PT5M
29,0,29,28,2025-10-02 06:20:00+05:30,PT5M
41,0,41,40,2025-10-02 06:25:00+05:30,PT5M
51,22,54,53,2025-10-02 06:30:00+05:30,PT5M
53,142,74,76,2025-10-02 06:35:00+05:30,PT5M
68,84,82,82,2025-10-02 06:40:00+05:30,PT5M
80,71,94,93,2025-10-02 06:45:00+05:30,PT5M
83,150,115,116,2025-10-02 06:50:00+05:30,PT5M
90,183,133,134,2025-10-02 06:55:00+05:30,PT5M
86,294,160,164,2025-10-02 07:00:00+05:30,PT5M
92,321,179,184,2025-10-02 07:05:00+05:30,PT5M
97,348,199,204,2025-10-02 07:10:00+05:30,PT5M
102,374,219,224,2025-10-02 07:15:00+05:30,PT5M
106,398,239,244,2025-10-02 07:20:00+05:30,PT5M
111,421,260,265,2025-10-02 07:25:00+05:30,PT5M
115,443,280,286,2025-10-02 07:30:00+05:30,PT5M
118,464,301,307,2025-10-02 07:35:00+05:30,PT5M
122,483,321,327,2025-10-02 07:40:00+05:30,PT5M
125,502,342,348,2025-10-02 07:45:00+05:30,PT5M
128,519,363,369,2025-10-02 07:50:00+05:30,PT5M
131,536,383,389,2025-10-02 07:55:00+05:30,PT5M
133,552,403,409,2025-10-02 08:00:00+05:30,PT5M
134,570,424,430,2025-10-02 08:05:00+05:30,PT5M
134,592,446,452,2025-10-02 08:10:00+05:30,PT5M
133,613,467,474,2025-10-02 08:15:00+05:30,PT5M
132,633,488,495,2025-10-02 08:20:00+05:30,PT5M
131,653,509,516,2025-10-02 08:25:00+05:30,PT5M
129,671,530,536,2025-10-02 08:30:00+05:30,PT5M
127,689,550,557,2025-10-02 08:35:00+05:30,PT5M
125,706,570,577,2025-10-02 08:40:00+05:30,PT5M
122,723,589,596,2025-10-02 08:45:00+05:30,PT5M
120,738,609,616,2025-10-02 08:50:00+05:30,PT5M
117,753,628,635,2025-10-02 08:55:00+05:30,PT5M
114,768,646,653,2025-10-02 09:00:00+05:30,PT5M
112,778,664,671,2025-10-02 09:05:00+05:30,PT5M
113,784,680,687,2025-10-02 09:10:00+05:30,PT5M
114,789,696,703,2025-10-02 09:15:00+05:30,PT5M
115,794,712,718,2025-10-02 09:20:00+05:30,PT5M
175,673,690,695,2025-10-02 09:25:00+05:30,PT5M
239,545,663,664,2025-10-02 09:30:00+05:30,PT5M
309,398,624,622,2025-10-02 09:35:00+05:30,PT5M
300,432,647,645,2025-10-02 09:40:00+05:30,PT5M
290,466,670,669,2025-10-02 09:45:00+05:30,PT5M
333,381,649,645,2025-10-02 09:50:00+05:30,PT5M
337,384,659,656,2025-10-02 09:55:00+05:30,PT5M
341,387,669,666,2025-10-02 10:00:00+05:30,PT5M
357,361,668,664,2025-10-02 10:05:00+05:30,PT5M
348,392,689,685,2025-10-02 10:10:00+05:30,PT5M
337,424,710,707,2025-10-02 10:15:00+05:30,PT5M
310,487,743,741,2025-10-02 10:20:00+05:30,PT5M
296,521,764,763,2025-10-02 10:25:00+05:30,PT5M
263,589,797,798,2025-10-02 10:30:00+05:30,PT5M
265,591,806,806,2025-10-02 10:35:00+05:30,PT5M
284,561,801,801,2025-10-02 10:40:00+05:30,PT5M
303,530,795,794,2025-10-02 10:45:00+05:30,PT5M
322,500,790,788,2025-10-02 10:50:00+05:30,PT5M
306,534,809,808,2025-10-02 10:55:00+05:30,PT5M
270,603,841,841,2025-10-02 11:00:00+05:30,PT5M
271,605,847,847,2025-10-02 11:05:00+05:30,PT5M
272,607,852,852,2025-10-02 11:10:00+05:30,PT5M
345,477,804,801,2025-10-02 11:15:00+05:30,PT5M
436,305,730,723,2025-10-02 11:20:00+05:30,PT5M
462,254,709,699,2025-10-02 11:25:00+05:30,PT5M
486,206,686,676,2025-10-02 11:30:00+05:30,PT5M
476,231,701,691,2025-10-02 11:35:00+05:30,PT5M
488,207,690,680,2025-10-02 11:40:00+05:30,PT5M
478,232,704,694,2025-10-02 11:45:00+05:30,PT5M
466,257,718,709,2025-10-02 11:50:00+05:30,PT5M
441,309,744,736,2025-10-02 11:55:00+05:30,PT5M
441,309,744,736,2025-10-02 12:00:00+05:30,PT5M
427,336,757,750,2025-10-02 12:05:00+05:30,PT5M
427,336,756,749,2025-10-02 12:10:00+05:30,PT5M
466,257,716,707,2025-10-02 12:15:00+05:30,PT5M
508,161,665,653,2025-10-02 12:20:00+05:30,PT5M
507,161,664,651,2025-10-02 12:25:00+05:30,PT5M
474,230,698,688,2025-10-02 12:30:00+05:30,PT5M
449,280,720,712,2025-10-02 12:35:00+05:30,PT5M
408,360,755,749,2025-10-02 12:40:00+05:30,PT5M
392,387,763,758,2025-10-02 12:45:00+05:30,PT5M
343,475,798,795,2025-10-02 12:50:00+05:30,PT5M
342,474,793,790,2025-10-02 12:55:00+05:30,PT5M
307,536,813,812,2025-10-02 13:00:00+05:30,PT5M
323,502,794,792,2025-10-02 13:05:00+05:30,PT5M
397,351,725,719,2025-10-02 13:10:00+05:30,PT5M
395,350,719,713,2025-10-02 13:15:00+05:30,PT5M
405,321,700,694,2025-10-02 13:20:00+05:30,PT5M
402,319,693,687,2025-10-02 13:25:00+05:30,PT5M
373,372,709,704,2025-10-02 13:30:00+05:30,PT5M
370,370,701,696,2025-10-02 13:35:00+05:30,PT5M
367,368,692,688,2025-10-02 13:40:00+05:30,PT5M
363,366,684,679,2025-10-02 13:45:00+05:30,PT5M
347,391,686,682,2025-10-02 13:50:00+05:30,PT5M
343,389,676,673,2025-10-02 13:55:00+05:30,PT5M
326,415,677,675,2025-10-02 14:00:00+05:30,PT5M
284,497,698,698,2025-10-02 14:05:00+05:30,PT5M
302,451,673,672,2025-10-02 14:10:00+05:30,PT5M
306,435,659,657,2025-10-02 14:15:00+05:30,PT5M
269,509,675,676,2025-10-02 14:20:00+05:30,PT5M
313,401,628,626,2025-10-02 14:25:00+05:30,PT5M
349,302,582,578,2025-10-02 14:30:00+05:30,PT5M
359,260,557,552,2025-10-02 14:35:00+05:30,PT5M
350,269,550,545,2025-10-02 14:40:00+05:30,PT5M
340,276,542,538,2025-10-02 14:45:00+05:30,PT5M
330,283,533,530,2025-10-02 14:50:00+05:30,PT5M
321,289,524,521,2025-10-02 14:55:00+05:30,PT5M
328,247,498,493,2025-10-02 15:00:00+05:30,PT5M
332,211,473,468,2025-10-02 15:05:00+05:30,PT5M
339,159,444,437,2025-10-02 15:10:00+05:30,PT5M
338,132,422,415,2025-10-02 15:15:00+05:30,PT5M
341,86,394,385,2025-10-02 15:20:00+05:30,PT5M
341,43,367,357,2025-10-02 15:25:00+05:30,PT5M
335,20,347,336,2025-10-02 15:30:00+05:30,PT5M
315,0,315,305,2025-10-02 15:35:00+05:30,PT5M
308,0,308,297,2025-10-02 15:40:00+05:30,PT5M
289,0,289,279,2025-10-02 15:45:00+05:30,PT5M
280,0,280,270,2025-10-02 15:50:00+05:30,PT5M
280,2,281,271,2025-10-02 15:55:00+05:30,PT5M
259,43,280,273,2025-10-02 16:00:00+05:30,PT5M
238,86,278,273,2025-10-02 16:05:00+05:30,PT5M
240,10,245,237,2025-10-02 16:10:00+05:30,PT5M
226,0,226,218,2025-10-02 16:15:00+05:30,PT5M
201,92,238,234,2025-10-02 16:20:00+05:30,PT5M
199,32,211,205,2025-10-02 16:25:00+05:30,PT5M
189,0,189,182,2025-10-02 16:30:00+05:30,PT5M
171,0,171,165,2025-10-02 16:35:00+05:30,PT5M
159,0,159,154,2025-10-02 16:40:00+05:30,PT5M
151,4,152,147,2025-10-02 16:45:00+05:30,PT5M
136,20,142,138,2025-10-02 16:50:00+05:30,PT5M
114,95,139,138,2025-10-02 16:55:00+05:30,PT5M
94,167,134,135,2025-10-02 17:00:00+05:30,PT5M
86,143,117,118,2025-10-02 17:05:00+05:30,PT5M
77,119,102,102,2025-10-02 17:10:00+05:30,PT5M
69,96,86,87,2025-10-02 17:15:00+05:30,PT5M
61,73,72,72,2025-10-02 17:20:00+05:30,PT5M
52,52,59,59,2025-10-02 17:25:00+05:30,PT5M
43,34,47,47,2025-10-02 17:30:00+05:30,PT5M
35,19,37,36,2025-10-02 17:35:00+05:30,PT5M
22,0,22,22,2025-10-02 17:40:00+05:30,PT5M
14,0,14,13,2025-10-02 17:45:00+05:30,PT5M
6,0,6,6,2025-10-02 17:50:00+05:30,PT5M
1,0,1,1,2025-10-02 17:55:00+05:30,PT5M
0,0,0,0,2025-10-02 18:00:00+05:30,PT5M
0,0,0,0,2025-10-02 18:05:00+05:30,PT5M
0,0,0,0,2025-10-02 18:10:00+05:30,PT5M
0,0,0,0,2025-10-02 18:15:00+05:30,PT5M
0,0,0,0,2025-10-02 18:20:00+05:30,PT5M
