dhi,dni,ghi,gti,period_end,period
114,4,115,112,2025-11-08 07:30:00+05:30,PT1H
236,8,241,233,2025-11-08 08:30:00+05:30,PT1H
213,515,562,611,2025-11-08 09:30:00+05:30,PT1H
346,363,642,671,2025-11-08 10:30:00+05:30,PT1H
382,377,721,749,2025-11-08 11:30:00+05:30,PT1H
414,271,665,681,2025-11-08 12:30:00+05:30,PT1H
361,0,361,348,2025-11-08 13:30:00+05:30,PT1H
297,0,297,286,2025-11-08 14:30:00+05:30,PT1H
287,187,404,416,2025-11-08 15:30:00+05:30,PT1H
168,247,283,307,2025-11-08 16:30:00+05:30,PT1H
73,84,88,97,2025-11-08 17:30:00+05:30,PT1H
1,0,1,1,2025-11-08 18:30:00+05:30,PT1H
0,0,0,0,2025-11-08 19:30:00+05:30,PT1H
0,0,0,0,2025-11-08 20:30:00+05:30,PT1H
0,0,0,0,2025-11-08 21:30:00+05:30,PT1H
0,0,0,0,2025-11-08 22:30:00+05:30,PT1H
0,0,0,0,2025-11-08 23:30:00+05:30,PT1H
0,0,0,0,2025-11-09 00:30:00+05:30,PT1H
0,0,0,0,2025-11-09 01:30:00+05:30,PT1H
0,0,0,0,2025-11-09 02:30:00+05:30,PT1H
0,0,0,0,2025-11-09 03:30:00+05:30,PT1H
0,0,0,0,2025-11-09 04:30:00+05:30,PT1H
0,0,0,0,2025-11-09 05:30:00+05:30,PT1H
8,0,8,7,2025-11-09 06:30:00+05:30,PT1H
106,0,106,102,2025-11-09 07:30:00+05:30,PT1H
193,245,322,345,2025-11-09 08:30:00+05:30,PT1H
191,578,578,635,2025-11-09 09:30:00+05:30,PT1H
261,553,707,757,2025-11-09 10:30:00+05:30,PT1H
519,52,565,553,2025-11-09 11:30:00+05:30,PT1H
513,9,520,503,2025-11-09 12:30:00+05:30,PT1H
475,125,581,579,2025-11-09 13:30:00+05:30,PT1H
387,181,534,542,2025-11-09 14:30:00+05:30,PT1H
242,366,467,503,2025-11-09 15:30:00+05:30,PT1H
165,189,252,270,2025-11-09 16:30:00+05:30,PT1H
42,0,42,41,2025-11-09 17:30:00+05:30,PT1H
1,0,1,1,2025-11-09 18:30:00+05:30,PT1H
0,0,0,0,2025-11-09 19:30:00+05:30,PT1H
0,0,0,0,2025-11-09 20:30:00+05:30,PT1H
0,0,0,0,2025-11-09 21:30:00+05:30,PT1H
0,0,0,0,2025-11-09 22:30:00+05:30,PT1H
0,0,0,0,2025-11-09 23:30:00+05:30,PT1H
0,0,0,0,2025-11-10 00:30:00+05:30,PT1H
0,0,0,0,2025-11-10 01:30:00+05:30,PT1H
0,0,0,0,2025-11-10 02:30:00+05:30,PT1H
0,0,0,0,2025-11-10 03:30:00+05:30,PT1H
0,0,0,0,2025-11-10 04:30:00+05:30,PT1H
0,0,0,0,2025-11-10 05:30:00+05:30,PT1H
9,0,9,9,2025-11-10 06:30:00+05:30,PT1H
74,0,74,71,2025-11-10 07:30:00+05:30,PT1H
222,29,238,234,2025-11-10 08:30:00+05:30,PT1H
287,324,502,532,2025-11-10 09:30:00+05:30,PT1H
365,325,629,655,2025-11-10 10:30:00+05:30,PT1H
531,48,574,561,2025-11-10 11:30:00+05:30,PT1H
524,29,551,536,2025-11-10 12:30:00+05:30,PT1H
503,18,518,502,2025-11-10 13:30:00+05:30,PT1H
370,5,374,361,2025-11-10 14:30:00+05:30,PT1H
295,7,299,289,2025-11-10 15:30:00+05:30,PT1H
210,16,217,212,2025-11-10 16:30:00+05:30,PT1H
72,0,72,70,2025-11-10 17:30:00+05:30,PT1H
1,0,1,1,2025-11-10 18:30:00+05:30,PT1H
0,0,0,0,2025-11-10 19:30:00+05:30,PT1H
0,0,0,0,2025-11-10 20:30:00+05:30,PT1H
0,0,0,0,2025-11-10 21:30:00+05:30,PT1H
0,0,0,0,2025-11-10 22:30:00+05:30,PT1H
0,0,0,0,2025-11-10 23:30:00+05:30,PT1H
0,0,0,0,2025-11-11 00:30:00+05:30,PT1H
0,0,0,0,2025-11-11 01:30:00+05:30,PT1H
0,0,0,0,2025-11-11 02:30:00+05:30,PT1H
0,0,0,0,2025-11-11 03:30:00+05:30,PT1H
0,0,0,0,2025-11-11 04:30:00+05:30,PT1H
0,0,0,0,2025-11-11 05:30:00+05:30,PT1H
9,0,9,9,2025-11-11 06:30:00+05:30,PT1H
104,115,140,152,2025-11-11 07:30:00+05:30,PT1H
180,348,349,388,2025-11-11 08:30:00+05:30,PT1H
238,458,538,585,2025-11-11 09:30:00+05:30,PT1H
317,419,656,695,2025-11-11 10:30:00+05:30,PT1H
476,144,603,604,2025-11-11 11:30:00+05:30,PT1H
486,147,621,622,2025-11-11 12:30:00+05:30,PT1H
462,171,613,618,2025-11-11 13:30:00+05:30,PT1H
428,25,448,436,2025-11-11 14:30:00+05:30,PT1H
136,0,136,131,2025-11-11 15:30:00+05:30,PT1H
64,0,64,62,2025-11-11 16:30:00+05:30,PT1H
48,0,48,46,2025-11-11 17:30:00+05:30,PT1H
1,0,1,1,2025-11-11 18:30:00+05:30,PT1H
0,0,0,0,2025-11-11 19:30:00+05:30,PT1H
0,0,0,0,2025-11-11 20:30:00+05:30,PT1H
0,0,0,0,2025-11-11 21:30:00+05:30,PT1H
0,0,0,0,2025-11-11 22:30:00+05:30,PT1H
0,0,0,0,2025-11-11 23:30:00+05:30,PT1H
0,0,0,0,2025-11-12 00:30:00+05:30,PT1H
0,0,0,0,2025-11-12 01:30:00+05:30,PT1H
0,0,0,0,2025-11-12 02:30:00+05:30,PT1H
0,0,0,0,2025-11-12 03:30:00+05:30,PT1H
0,0,0,0,2025-11-12 04:30:00+05:30,PT1H
0,0,0,0,2025-11-12 05:30:00+05:30,PT1H
7,0,7,7,2025-11-12 06:30:00+05:30,PT1H
