dhi,dni,ghi,gti,period_end,period
0,0,0,0,2025-11-08 19:30:00+05:30,PT1H
0,0,0,0,2025-11-08 20:30:00+05:30,PT1H
0,0,0,0,2025-11-08 21:30:00+05:30,PT1H
0,0,0,0,2025-11-08 22:30:00+05:30,PT1H
0,0,0,0,2025-11-08 23:30:00+05:30,PT1H
0,0,0,0,2025-11-09 00:30:00+05:30,PT1H
0,0,0,0,2025-11-09 01:30:00+05:30,PT1H
0,0,0,0,2025-11-09 02:30:00+05:30,PT1H
0,0,0,0,2025-11-09 03:30:00+05:30,PT1H
0,0,0,0,2025-11-09 04:30:00+05:30,PT1H
0,0,0,0,2025-11-09 05:30:00+05:30,PT1H
10,0,10,10,2025-11-09 06:30:00+05:30,PT1H
113,4,115,111,2025-11-09 07:30:00+05:30,PT1H
176,410,384,429,2025-11-09 08:30:00+05:30,PT1H
155,728,641,717,2025-11-09 09:30:00+05:30,PT1H
178,775,805,882,2025-11-09 10:30:00+05:30,PT1H
314,558,810,861,2025-11-09 11:30:00+05:30,PT1H
306,0,306,296,2025-11-09 12:30:00+05:30,PT1H
221,0,221,213,2025-11-09 13:30:00+05:30,PT1H
272,0,272,262,2025-11-09 14:30:00+05:30,PT1H
144,0,144,139,2025-11-09 15:30:00+05:30,PT1H
70,0,70,68,2025-11-09 16:30:00+05:30,PT1H
49,0,49,47,2025-11-09 17:30:00+05:30,PT1H
0,0,0,0,2025-11-09 18:30:00+05:30,PT1H
0,0,0,0,2025-11-09 19:30:00+05:30,PT1H
0,0,0,0,2025-11-09 20:30:00+05:30,PT1H
0,0,0,0,2025-11-09 21:30:00+05:30,PT1H
0,0,0,0,2025-11-09 22:30:00+05:30,PT1H
0,0,0,0,2025-11-09 23:30:00+05:30,PT1H
0,0,0,0,2025-11-10 00:30:00+05:30,PT1H
0,0,0,0,2025-11-10 01:30:00+05:30,PT1H
0,0,0,0,2025-11-10 02:30:00+05:30,PT1H
0,0,0,0,2025-11-10 03:30:00+05:30,PT1H
0,0,0,0,2025-11-10 04:30:00+05:30,PT1H
0,0,0,0,2025-11-10 05:30:00+05:30,PT1H
13,0,13,12,2025-11-10 06:30:00+05:30,PT1H
118,96,147,157,2025-11-10 07:30:00+05:30,PT1H
207,325,364,402,2025-11-10 08:30:00+05:30,PT1H
264,460,569,619,2025-11-10 09:30:00+05:30,PT1H
442,151,559,565,2025-11-10 10:30:00+05:30,PT1H
285,0,285,275,2025-11-10 11:30:00+05:30,PT1H
309,0,309,299,2025-11-10 12:30:00+05:30,PT1H
164,0,164,159,2025-11-10 13:30:00+05:30,PT1H
155,0,155,149,2025-11-10 14:30:00+05:30,PT1H
122,0,122,118,2025-11-10 15:30:00+05:30,PT1H
79,0,79,77,2025-11-10 16:30:00+05:30,PT1H
22,0,22,21,2025-11-10 17:30:00+05:30,PT1H
0,0,0,0,2025-11-10 18:30:00+05:30,PT1H
0,0,0,0,2025-11-10 19:30:00+05:30,PT1H
0,0,0,0,2025-11-10 20:30:00+05:30,PT1H
0,0,0,0,2025-11-10 21:30:00+05:30,PT1H
0,0,0,0,2025-11-10 22:30:00+05:30,PT1H
0,0,0,0,2025-11-10 23:30:00+05:30,PT1H
0,0,0,0,2025-11-11 00:30:00+05:30,PT1H
0,0,0,0,2025-11-11 01:30:00+05:30,PT1H
0,0,0,0,2025-11-11 02:30:00+05:30,PT1H
0,0,0,0,2025-11-11 03:30:00+05:30,PT1H
0,0,0,0,2025-11-11 04:30:00+05:30,PT1H
0,0,0,0,2025-11-11 05:30:00+05:30,PT1H
9,0,9,9,2025-11-11 06:30:00+05:30,PT1H
119,40,132,134,2025-11-11 07:30:00+05:30,PT1H
212,299,355,390,2025-11-11 08:30:00+05:30,PT1H
345,223,491,512,2025-11-11 09:30:00+05:30,PT1H
478,87,546,543,2025-11-11 10:30:00+05:30,PT1H
480,175,639,645,2025-11-11 11:30:00+05:30,PT1H
496,27,521,508,2025-11-11 12:30:00+05:30,PT1H
319,0,319,308,2025-11-11 13:30:00+05:30,PT1H
270,0,270,260,2025-11-11 14:30:00+05:30,PT1H
26,0,26,26,2025-11-11 15:30:00+05:30,PT1H
29,0,29,28,2025-11-11 16:30:00+05:30,PT1H
23,0,23,22,2025-11-11 17:30:00+05:30,PT1H
0,0,0,0,2025-11-11 18:30:00+05:30,PT1H
0,0,0,0,2025-11-11 19:30:00+05:30,PT1H
0,0,0,0,2025-11-11 20:30:00+05:30,PT1H
0,0,0,0,2025-11-11 21:30:00+05:30,PT1H
0,0,0,0,2025-11-11 22:30:00+05:30,PT1H
0,0,0,0,2025-11-11 23:30:00+05:30,PT1H
0,0,0,0,2025-11-12 00:30:00+05:30,PT1H
0,0,0,0,2025-11-12 01:30:00+05:30,PT1H
0,0,0,0,2025-11-12 02:30:00+05:30,PT1H
0,0,0,0,2025-11-12 03:30:00+05:30,PT1H
0,0,0,0,2025-11-12 04:30:00+05:30,PT1H
0,0,0,0,2025-11-12 05:30:00+05:30,PT1H
9,0,9,8,2025-11-12 06:30:00+05:30,PT1H
106,164,155,175,2025-11-12 07:30:00+05:30,PT1H
151,520,401,464,2025-11-12 08:30:00+05:30,PT1H
224,547,580,642,2025-11-12 09:30:00+05:30,PT1H
407,251,607,629,2025-11-12 10:30:00+05:30,PT1H
485,181,646,656,2025-11-12 11:30:00+05:30,PT1H
524,99,614,611,2025-11-12 12:30:00+05:30,PT1H
437,0,437,422,2025-11-12 13:30:00+05:30,PT1H
378,0,378,365,2025-11-12 14:30:00+05:30,PT1H
284,154,373,386,2025-11-12 15:30:00+05:30,PT1H
